Titulo,Custo de Producao,Arrecadacao Bruta,Distribuidora,Genero,Diretor,Nota Rotten Tomatoes,Nota IMDB,Votos IMDB
Ben-Hur,3900000.0,9000000.0,MGM,Adventure,,,8.2,58510.0
Ben-Hur,15000000.0,73000000.0,MGM,Adventure,William Wyler,91.0,8.2,58510.0
Benji,500000.0,31559560.0,,Adventure,,83.0,5.8,1801.0
Before Sunrise,2500000.0,5274005.0,Sony Pictures,Drama,Richard Linklater,100.0,8.0,39705.0
Beauty and the Beast,20000000.0,403476931.0,Walt Disney Pictures,Musical,Gary Trousdale,93.0,3.4,354.0
The Best Years of Our Lives,2100000.0,23600000.0,RKO Radio Pictures,Drama,William Wyler,97.0,8.2,17338.0
The Ballad of Gregorio Cortez,1305000.0,909000.0,Embassy,Western,,,,
My Big Fat Independent Movie,3000000.0,4655.0,Big Fat Movies,Comedy,,23.0,3.2,1119.0
Battle for the Planet of the Apes,1800000.0,8800000.0,20th Century Fox,,Jack Lee Thompson,38.0,5.0,6094.0
Big Things,50000.0,0.0,,,,,,
Bogus,32000000.0,4357406.0,Warner Bros.,Comedy,Norman Jewison,40.0,4.8,2742.0
Beverly Hills Cop,15000000.0,316300000.0,Paramount Pictures,Action,Martin Brest,83.0,7.3,45065.0
Beverly Hills Cop II,20000000.0,276665036.0,Paramount Pictures,Action,Tony Scott,46.0,6.1,29712.0
Beverly Hills Cop III,50000000.0,119180938.0,Paramount Pictures,Action,John Landis,10.0,5.0,21199.0
The Black Hole,20000000.0,35841901.0,Walt Disney Pictures,,,42.0,5.6,7810.0
Bathory,15000000.0,3436763.0,,,,,6.1,1446.0
Big,18000000.0,151668774.0,20th Century Fox,Comedy,Penny Marshall,96.0,7.2,49256.0
The Big Parade,245000.0,22000000.0,MGM,Drama,King Vidor,100.0,8.4,2600.0
Boyz n the Hood,6500000.0,56190094.0,Sony Pictures,Drama,John Singleton,98.0,7.8,30299.0
"The Book of Mormon Movie, Volume 1: The Journey",2000000.0,1660865.0,Distributor ,Drama,,,,
Return to the Blue Lagoon,11000000.0,2000000.0,,,,,4.3,4632.0
"Bright Lights, Big City",25000000.0,16118077.0,United Artists,Drama,,61.0,6.8,11929.0
The Blue Bird,1200000.0,887000.0,20th Century Fox,,George Cukor,,4.9,359.0
The Blue Butterfly,10400000.0,1610194.0,Alliance,Drama,,44.0,6.2,817.0
Blade Runner,28000000.0,33139618.0,Warner Bros.,Thriller/Suspense,Ridley Scott,92.0,8.3,185546.0
Bloodsport,1500000.0,11806119.0,Cannon,Action,,,6.2,19816.0
The Blues Brothers,27000000.0,57229890.0,Universal,Musical,John Landis,84.0,7.9,62941.0
Blow Out,18000000.0,13747234.0,Filmways Pictures,Thriller/Suspense,Brian De Palma,89.0,7.1,10239.0
De battre mon coeur s'est arrÃtÃˆ,5500000.0,8589831.0,WellSpring,Drama,,,7.3,7295.0
The Broadway Melody,379000.0,4358000.0,MGM,Musical,,38.0,6.7,2017.0
Boom Town,2000000.0,9172000.0,MGM,,,,7.1,1115.0
Bound,4500000.0,6300000.0,Gramercy,Thriller/Suspense,Andy Wachowski,88.0,7.4,23564.0
Bang,10000.0,527.0,JeTi Films,Thriller/Suspense,"Jeff ""King Jeff"" Hollins",,6.3,369.0
Bananas,2000000.0,,MGM,Comedy,Woody Allen,89.0,7.1,12415.0
Bill & Ted's Bogus Journey,20000000.0,37537675.0,Orion Pictures,Comedy,Peter Hewitt,58.0,5.8,20188.0
The Birth of a Nation,110000.0,11000000.0,,Drama,,100.0,7.1,8901.0
The Ballad of Cable Hogue,3716946.0,5000000.0,Warner Bros.,Western,Sam Peckinpah,92.0,7.3,3125.0
The Blood of Heroes,7700000.0,882290.0,New Line,Action,,,6.2,2523.0
The Blood of My Brother: A Story of Death in Iraq,120000.0,0.0,Lifesize Entertainment,Documentary,,71.0,7.6,90.0
Boomerang,42000000.0,131052444.0,Paramount Pictures,Comedy,,37.0,5.9,202.0
The Bridge on the River Kwai,3000000.0,33300000.0,Sony/Columbia,Drama,David Lean,95.0,8.4,58641.0
Born on the Fourth of July,14000000.0,70001698.0,Universal,Drama,Oliver Stone,89.0,7.2,32108.0
Basquiat,3000000.0,2962051.0,Miramax,Drama,Julian Schnabel,69.0,6.7,7935.0
Black Rain,30000000.0,45892212.0,Paramount Pictures,Thriller/Suspense,Ridley Scott,57.0,4.1,137.0
Bottle Rocket,5000000.0,407488.0,Sony Pictures,Adventure,Wes Anderson,79.0,7.2,21980.0
Braindead,3000000.0,242623.0,Trimark,Horror,Peter Jackson,,7.6,32827.0
The Bridges of Madison County,22000000.0,175516617.0,Warner Bros.,Drama,Clint Eastwood,90.0,7.2,21923.0
The Brothers McMullen,25000.0,10426506.0,Fox Searchlight,Drama,Edward Burns,91.0,6.4,4365.0
Dracula,40000000.0,215862692.0,Sony Pictures,Horror,Francis Ford Coppola,,6.4,136.0
Broken Arrow,65000000.0,148345997.0,20th Century Fox,Action,John Woo,55.0,5.8,33584.0
Brainstorm,15000000.0,8921050.0,MGM,Thriller/Suspense,,64.0,6.3,4410.0
Braveheart,72000000.0,209000000.0,Paramount Pictures,Drama,Mel Gibson,77.0,8.4,240642.0
Les BronzÃˆs 3: amis pour la vie,42000000.0,83833602.0,,Comedy,,,4.4,1254.0
Brazil,15000000.0,9929135.0,Universal,Black Comedy,Terry Gilliam,98.0,8.0,76635.0
Blazing Saddles,2600000.0,119500000.0,Warner Bros.,Comedy,Mel Brooks,89.0,7.8,45771.0
The Basket,1300000.0,609042.0,MGM,Drama,,,6.3,343.0
Bathing Beauty,2361000.0,3500000.0,MGM,Musical,,,6.2,487.0
Bill & Ted's Excellent Adventure,10000000.0,39916091.0,Orion Pictures,Comedy,Stephen Herek,81.0,6.7,30341.0
A Bridge Too Far,26000000.0,50800000.0,MGM,Action,Sir Richard Attenborough,67.0,7.3,16882.0
Beetle Juice,15000000.0,73326666.0,Warner Bros.,Comedy,Tim Burton,,7.3,61197.0
Batman Returns,80000000.0,266822354.0,Warner Bros.,Action,Tim Burton,78.0,6.9,78673.0
Batman Forever,100000000.0,336529144.0,Warner Bros.,Action,Joel Schumacher,43.0,5.4,76218.0
Batman - The Movie,1377800.0,0.0,,,,,,
Batman,35000000.0,411348924.0,Warner Bros.,Action,Tim Burton,71.0,7.6,111464.0
Buffy the Vampire Slayer,7000000.0,14231669.0,20th Century Fox,Horror,,32.0,5.3,16056.0
Bienvenue chez les Ch'tis,16000000.0,243470856.0,Link Productions Ltd.,Comedy,,,7.0,7129.0
Beyond the Valley of the Dolls,1000000.0,9000000.0,20th Century Fox,Comedy,,68.0,5.7,4626.0
Broken Vessels,600000.0,85343.0,,Drama,,,6.4,399.0
The Boys from Brazil,12000000.0,19000000.0,20th Century Fox,Thriller/Suspense,Franklin J. Schaffner,65.0,7.0,8741.0
The Business of Fancy Dancing,200000.0,174682.0,Outrider Pictures,Drama,,,7.0,355.0
Caddyshack,6000000.0,39846344.0,Warner Bros.,Comedy,Harold Ramis,75.0,7.3,35436.0
Cape Fear,35000000.0,182291969.0,Universal,Thriller/Suspense,Martin Scorsese,76.0,7.3,47196.0
Clear and Present Danger,62000000.0,207500000.0,Paramount Pictures,Action,Phillip Noyce,78.0,6.8,29612.0
Carrie,1800000.0,25878153.0,MGM,Horror,Brian De Palma,90.0,7.4,38767.0
Casino Royale,12000000.0,41744718.0,Sony Pictures,Comedy,John Huston,30.0,8.0,172936.0
Camping Sauvage,4600000.0,3479302.0,Alliance,Comedy,,,6.0,378.0
The Cotton Club,48000000.0,25928721.0,Orion Pictures,Drama,Francis Ford Coppola,74.0,6.3,6940.0
Crop Circles: Quest for Truth,600000.0,0.0,,,,60.0,7.1,153.0
Close Encounters of the Third Kind,20000000.0,337700000.0,Sony Pictures,Adventure,Steven Spielberg,95.0,7.8,59049.0
The Cable Guy,47000000.0,102825796.0,Sony Pictures,Comedy,Ben Stiller,52.0,5.8,51109.0
Chocolate: Deep Dark Secrets,1000000.0,1549000.0,Eros Entertainment,Thriller/Suspense,,,4.6,527.0
Child's Play,9000000.0,44196684.0,United Artists,Horror,,70.0,6.3,16165.0
Child's Play 2,13000000.0,34166572.0,Universal,Horror,,38.0,5.1,8666.0
Chain Reaction,55000000.0,60209334.0,20th Century Fox,Action,Andrew Davis,13.0,5.2,15817.0
Charly,950000.0,814666.0,Excel Entertainment,Drama,,,5.8,60.0
Chariots of Fire,5500000.0,57159946.0,Sony Pictures,Drama,Hugh Hudson,86.0,7.3,16138.0
A Christmas Story,3250000.0,19294144.0,MGM,Comedy,,88.0,8.0,51757.0
Cat on a Hot Tin Roof,3000000.0,17570324.0,MGM,Drama,Richard Brooks,100.0,8.0,14540.0
C.H.U.D.,1250000.0,4700000.0,New World,Horror,,,5.0,2806.0
"Charge of the Light Brigade, The",1200000.0,0.0,Warner Bros.,Action,Michael Curtiz,,,
Crooklyn,14000000.0,13024170.0,Universal,Comedy,Spike Lee,75.0,6.5,3137.0
Festen,1300000.0,1647780.0,October Films,Comedy,Thomas Vinterberg,,8.1,26607.0
Cleopatra,36000000.0,62000000.0,20th Century Fox,Drama,,40.0,6.8,7870.0
Cliffhanger,65000000.0,255000000.0,Sony Pictures,Action,Renny Harlin,82.0,6.2,34447.0
The Californians,500000.0,4134.0,Fabrication Films,Drama,,,5.1,226.0
The Client,45000000.0,117615211.0,Warner Bros.,Drama,Joel Schumacher,80.0,6.5,19299.0
The Calling,160000.0,32092.0,Testimony Pictures,Drama,Michael C. Brown,,3.4,1113.0
Clueless,13700000.0,56598476.0,Paramount Pictures,Comedy,Amy Heckerling,83.0,6.7,39055.0
The Color Purple,15000000.0,93589701.0,Warner Bros.,Drama,Steven Spielberg,88.0,7.7,26962.0
Clerks,27000.0,3073428.0,Miramax,Comedy,Kevin Smith,88.0,7.9,89991.0
Central do Brasil,2900000.0,17006158.0,Sony Pictures Classics,Drama,Walter Salles,,8.0,17343.0
Clash of the Titans,15000000.0,30000000.0,MGM,Adventure,,65.0,5.9,45773.0
Clockwatchers,2000000.0,444354.0,Artistic License,,,,5.9,3171.0
Commando,10000000.0,35073978.0,20th Century Fox,Action,,71.0,4.5,49.0
The Color of Money,10000000.0,52293000.0,Walt Disney Pictures,Drama,Martin Scorsese,91.0,6.9,25824.0
Cinderella,2900000.0,85000000.0,Walt Disney Pictures,Drama,,92.0,5.1,373.0
Congo,50000000.0,152022333.0,Paramount Pictures,Adventure,Frank Marshall,21.0,4.6,17954.0
Conan the Barbarian,20000000.0,38264085.0,Universal,Action,John Milius,76.0,6.8,38886.0
Conan the Destroyer,18000000.0,26400000.0,Universal,Action,Richard Fleischer,29.0,5.4,20368.0
Class of 1984,3250000.0,6965361.0,United Film Distribution Co.,Drama,,,6.3,2945.0
The Clan of the Cave Bear,15000000.0,1953732.0,Warner Bros.,Adventure,,13.0,4.9,2763.0
The Case of the Grinning Cat,200000.0,7033.0,First Run/Icarus,Documentary,,,,
Bacheha-Ye aseman,180000.0,925402.0,Miramax,Comedy,,,8.0,6657.0
Coming Home,3000000.0,32653000.0,,,Hal Ashby,81.0,7.3,4410.0
Nanjing! Nanjing!,12000000.0,20000000.0,National Geographic Entertainment,,,,7.6,1725.0
Cool Runnings,14000000.0,155056263.0,Walt Disney Pictures,Comedy,Jon Turteltaub,73.0,6.5,24533.0
Conquest of the Planet of the Apes,1700000.0,9700000.0,,,Jack Lee Thompson,44.0,5.8,6188.0
Cure,10000.0,94596.0,,,,,7.4,2724.0
Crocodile Dundee,5000000.0,328000000.0,Paramount Pictures,Comedy,,88.0,6.5,27277.0
Dayereh,10000.0,673780.0,WinStar Cinema,Drama,,,7.3,1851.0
Karakter,4500000.0,713413.0,Sony Pictures Classics,Drama,,,7.8,5531.0
Creepshow,8000000.0,20036244.0,Warner Bros.,Horror,George A. Romero,67.0,6.5,12530.0
Creepshow 2,3500000.0,14000000.0,New World,Horror,,26.0,5.4,5910.0
The Crying Game,4000000.0,62546695.0,Miramax,Drama,Neil Jordan,100.0,7.3,21195.0
Crimson Tide,55000000.0,159387195.0,Walt Disney Pictures,Action,Tony Scott,86.0,7.2,33354.0
Caravans,14000000.0,1000000.0,Universal,Adventure,,,5.8,173.0
Crying With Laughter,820000.0,0.0,,,,,,
Fengkuang de Shitou,500000.0,3000000.0,,Black Comedy,,,7.6,1209.0
Casablanca,950000.0,10462500.0,Warner Bros.,Drama,Michael Curtiz,97.0,8.8,167939.0
Casino,52000000.0,110400000.0,Universal,Drama,Martin Scorsese,81.0,8.1,108634.0
Casper,55000000.0,282300000.0,Universal,Comedy,Brad Silberling,41.0,5.7,26121.0
Can't Stop the Music,20000000.0,2000000.0,,Musical,,,3.5,2146.0
Catch-22,18000000.0,24911670.0,Paramount Pictures,Comedy,Mike Nichols,87.0,7.1,9671.0
City Hall,40000000.0,20278055.0,Sony Pictures,Drama,Harold Becker,55.0,6.1,9908.0
Cutthroat Island,92000000.0,10017322.0,MGM,Adventure,Renny Harlin,45.0,5.3,10346.0
La femme de chambre du Titanic,10000000.0,244465.0,MGM,Drama,,,6.8,822.0
Cat People,134000.0,8000000.0,RKO Radio Pictures,Drama,,91.0,5.9,6791.0
Courage Under Fire,46000000.0,100833145.0,20th Century Fox,Drama,Edward Zwick,85.0,6.6,19682.0
C'era una volta il West,5000000.0,5321508.0,Paramount Pictures,Western,Sergio Leone,,8.8,74184.0
The Conversation,1600000.0,4420000.0,Paramount Pictures,Thriller/Suspense,Francis Ford Coppola,98.0,8.1,33005.0
Cavite,7000.0,71644.0,Truly Indie,Thriller/Suspense,,,6.0,487.0
Copycat,20000000.0,32051917.0,Warner Bros.,Thriller/Suspense,Jon Amiel,75.0,6.5,17182.0
Dark Angel,7000000.0,4372561.0,Triumph Releasing,Action,,,5.3,3396.0
"Boot, Das",12000000.0,84970337.0,Sony/Columbia,Drama,Wolfgang Petersen,,4.3,2184.0
Desperado,7000000.0,25532388.0,Sony Pictures,Action,Robert Rodriguez,61.0,7.0,51515.0
Dumb & Dumber,16000000.0,246400000.0,New Line,Comedy,Bobby Farrelly,,7.2,88093.0
Diamonds Are Forever,7200000.0,116000000.0,MGM,Action,Guy Hamilton,67.0,6.7,25354.0
The Dark Half,15000000.0,9579068.0,Orion Pictures,Horror,George A. Romero,,5.7,5488.0
The Dark Hours,400000.0,423.0,Freestyle Releasing,Horror,,,6.3,2804.0
Dante's Peak,115000000.0,178200000.0,Universal,Drama,Roger Donaldson,28.0,5.6,23472.0
Daylight,80000000.0,158908290.0,Universal,Action,Rob Cohen,22.0,5.4,20052.0
Dick Tracy,47000000.0,162738726.0,Walt Disney Pictures,Action,Warren Beatty,65.0,5.9,25364.0
Decoys,5000000.0,84733.0,,,,,4.4,2486.0
Dawn of the Dead,1500000.0,55000000.0,United Film Distribution Co.,Horror,,,7.4,73875.0
The Addams Family,30000000.0,191502246.0,Paramount Pictures,Comedy,Barry Sonnenfeld,59.0,6.6,28907.0
Death Becomes Her,55000000.0,149022650.0,Universal,Comedy,Robert Zemeckis,53.0,6.0,27681.0
Def-Con 4,1300000.0,210904.0,New World,Action,,,3.8,639.0
Dead Poets' Society,16400000.0,239500000.0,Walt Disney Pictures,Drama,Peter Weir,86.0,7.8,89662.0
The Day the Earth Stood Still,1200000.0,3700000.0,,,,94.0,5.5,51517.0
Deep Throat,25000.0,45000000.0,,,,,5.2,3075.0
The Dead Zone,10000000.0,20766000.0,Paramount Pictures,Horror,David Cronenberg,,7.3,19485.0
Die Hard 2,70000000.0,239814025.0,20th Century Fox,Action,Renny Harlin,,7.0,79636.0
Die Hard: With a Vengeance,90000000.0,364480746.0,20th Century Fox,Action,John McTiernan,,7.4,87437.0
Dragonheart,57000000.0,104364680.0,Universal,Adventure,Rob Cohen,50.0,6.2,26309.0
Die Hard,28000000.0,139109346.0,20th Century Fox,Action,John McTiernan,94.0,7.3,237.0
Diner,5000000.0,12592907.0,MGM,Comedy,Barry Levinson,96.0,7.1,7803.0
Dil Jo Bhi Kahey...,1600000.0,129319.0,Eros Entertainment,Drama,,,5.0,159.0
Don Juan DeMarco,25000000.0,22032635.0,New Line,Drama,,73.0,6.6,20386.0
Tales from the Crypt: Demon Knight,12000000.0,21089146.0,Universal,Horror,,,6.4,6430.0
Damnation Alley,17000000.0,,,,,,4.7,1655.0
Dead Man Walking,11000000.0,83088295.0,Gramercy,Drama,Tim Robbins,94.0,7.6,32159.0
Dances with Wolves,19000000.0,424200000.0,Orion Pictures,Western,Kevin Costner,76.0,8.0,71399.0
Dangerous Liaisons,14000000.0,34700000.0,Warner Bros.,Drama,Stephen Frears,93.0,7.7,25761.0
Donovan's Reef,2686000.0,6600000.0,,,John Ford,60.0,6.6,2907.0
Due occhi diabolici,9000000.0,349618.0,,,,,5.9,2059.0
Double Impact,16000000.0,29090445.0,Sony Pictures,Action,Sheldon Lettich,8.0,4.7,10426.0
The Doors,40000000.0,34167219.0,Sony Pictures,Drama,Oliver Stone,57.0,7.0,29750.0
Day of the Dead,3500000.0,34004262.0,United Film Distribution Co.,Horror,George A. Romero,78.0,4.5,8395.0
Days of Thunder,60000000.0,157670733.0,Paramount Pictures,Action,Tony Scott,40.0,5.4,25395.0
Dracula: Pages from a Virgin's Diary,1100000.0,84788.0,,,,,7.0,1013.0
Dolphin,170000.0,14000.0,,Documentary,,,5.8,134.0
Death Race 2000,300000.0,,,,,84.0,6.1,10015.0
Drei,7200000.0,0.0,,,Tom Tykwer,,,
The Dress,2650000.0,16556.0,Attitude Films,Drama,,,7.6,1844.0
The Deer Hunter,15000000.0,50000000.0,Universal,Drama,Michael Cimino,,8.2,88095.0
Dragonslayer,18000000.0,6000000.0,Paramount Pictures,Action,,82.0,6.8,4945.0
Driving Miss Daisy,7500000.0,106593296.0,Warner Bros.,Drama,Bruce Beresford,78.0,7.5,22566.0
Dressed to Kill,6500000.0,31899000.0,,,Brian De Palma,84.0,7.1,9556.0
Do the Right Thing,6000000.0,26004026.0,Universal,Comedy,Spike Lee,98.0,7.9,26877.0
Dune,45000000.0,27447471.0,Universal,Action,David Lynch,62.0,6.5,38489.0
Dolphins and Whales Tribes of the Ocean 3D,6000000.0,17252287.0,3D Entertainment,Documentary,,,,
Down & Out with the Dolls,1200000.0,58936.0,Indican Pictures,,,,5.8,75.0
Dream With The Fishes,1000000.0,542909.0,Sony Pictures Classics,Drama,,58.0,6.6,1188.0
Doctor Zhivago,11000000.0,111721000.0,MGM,Drama,David Lean,84.0,8.0,27671.0
The Evil Dead,375000.0,29400000.0,New Line,Horror,Sam Raimi,,7.6,45030.0
Evil Dead II,3500000.0,5923044.0,Rosebud Releasing,Horror,Sam Raimi,,7.9,44214.0
Army of Darkness,11000000.0,21502976.0,Universal,Horror,Sam Raimi,,7.6,55671.0
Ed and his Dead Mother,1800000.0,673.0,,,,50.0,5.6,829.0
Edward Scissorhands,20000000.0,53976987.0,20th Century Fox,Comedy,Tim Burton,91.0,8.0,102485.0
Ed Wood,18000000.0,5828466.0,Walt Disney Pictures,Comedy,Tim Burton,91.0,8.1,74171.0
The Egyptian,5000000.0,15000000.0,,,Michael Curtiz,,6.2,1097.0
Everyone Says I Love You,20000000.0,34600000.0,Miramax,Musical,Woody Allen,80.0,6.8,16481.0
The Elephant Man,5000000.0,26010864.0,,,David Lynch,91.0,8.4,58194.0
Emma,5900000.0,37831658.0,Miramax,Romantic Comedy,,,6.8,13798.0
Star Wars Ep. V: The Empire Strikes Back,23000000.0,534171960.0,20th Century Fox,Adventure,,,,
Escape from New York,6000000.0,25244700.0,Avco Embassy,Action,John Carpenter,82.0,7.1,34497.0
Escape from L.A.,50000000.0,25426861.0,Paramount Pictures,Action,John Carpenter,56.0,5.3,23262.0
Escape from the Planet of the Apes,2500000.0,12300000.0,,,,78.0,6.1,7686.0
